national,day,species,score,randmod
0,7,SPECIES_SCYTHER,320,20
0,7,SPECIES_PINSIR,300,30
1,2,SPECIES_SCYTHER,320,20
1,2,SPECIES_PINSIR,300,30
1,4,SPECIES_SCYTHER,320,20
1,4,SPECIES_PINSIR,300,30
1,6,SPECIES_PINSIR,320,20
1,6,SPECIES_SCYTHER,300,30
0,7,SPECIES_PINSIR,300,30
0,7,SPECIES_SCYTHER,320,20
1,2,SPECIES_PINSIR,300,30
1,2,SPECIES_SCYTHER,320,20
1,4,SPECIES_PINSIR,300,30
1,4,SPECIES_SCYTHER,320,20
1,6,SPECIES_SCYTHER,300,30
1,6,SPECIES_PINSIR,320,20
0,7,SPECIES_PARAS,280,50
0,7,SPECIES_VENONAT,280,50
1,2,SPECIES_PARAS,280,50
1,2,SPECIES_PARAS,280,50
1,4,SPECIES_COMBEE,280,50
1,4,SPECIES_VOLBEAT,280,50
1,6,SPECIES_KRICKETUNE,280,50
1,6,SPECIES_ILLUMISE,280,50
0,7,SPECIES_VENONAT,280,50
0,7,SPECIES_PARAS,280,50
1,2,SPECIES_VENONAT,280,50
1,2,SPECIES_VENONAT,280,50
1,4,SPECIES_VOLBEAT,280,50
1,4,SPECIES_COMBEE,280,50
1,6,SPECIES_ILLUMISE,280,50
1,6,SPECIES_KRICKETUNE,280,50
0,7,SPECIES_BEEDRILL,260,50
0,7,SPECIES_BUTTERFREE,260,50
1,2,SPECIES_BEEDRILL,260,50
1,2,SPECIES_BUTTERFREE,260,50
1,4,SPECIES_KRICKETUNE,260,50
1,4,SPECIES_NINCADA,260,50
1,6,SPECIES_COMBEE,260,50
1,6,SPECIES_NINCADA,260,50
0,7,SPECIES_BUTTERFREE,260,50
0,7,SPECIES_BEEDRILL,260,50
1,2,SPECIES_BUTTERFREE,260,50
1,2,SPECIES_BEEDRILL,260,50
1,4,SPECIES_NINCADA,260,50
1,4,SPECIES_KRICKETUNE,260,50
1,6,SPECIES_NINCADA,260,50
1,6,SPECIES_COMBEE,260,50
0,7,SPECIES_KAKUNA,240,90
0,7,SPECIES_METAPOD,240,90
1,2,SPECIES_KAKUNA,240,90
1,2,SPECIES_METAPOD,240,90
1,4,SPECIES_KRICKETOT,240,90
1,4,SPECIES_DUSTOX,240,90
1,6,SPECIES_KRICKETOT,240,90
1,6,SPECIES_BEAUTIFLY,240,90
0,7,SPECIES_METAPOD,240,90
0,7,SPECIES_KAKUNA,240,90
1,2,SPECIES_METAPOD,240,90
1,2,SPECIES_KAKUNA,240,90
1,4,SPECIES_DUSTOX,240,90
1,4,SPECIES_KRICKETOT,240,90
1,6,SPECIES_BEAUTIFLY,240,90
1,6,SPECIES_KRICKETOT,240,90
0,7,SPECIES_WEEDLE,220,110
0,7,SPECIES_CATERPIE,220,110
1,2,SPECIES_WEEDLE,220,110
1,2,SPECIES_CATERPIE,220,110
1,4,SPECIES_SILCOON,220,110
1,4,SPECIES_WURMPLE,220,110
1,6,SPECIES_CASCOON,220,110
1,6,SPECIES_WURMPLE,220,110
0,7,SPECIES_CATERPIE,220,110
0,7,SPECIES_WEEDLE,220,110
1,2,SPECIES_CATERPIE,220,110
1,2,SPECIES_WEEDLE,220,110
1,4,SPECIES_WURMPLE,220,110
1,4,SPECIES_SILCOON,220,110
1,6,SPECIES_WURMPLE,220,110
1,6,SPECIES_CASCOON,220,110
