mapname,rate_walk,rate_surf,rate_smash,rate_oldrod,rate_goodrod,rate_superrod,land_lvl0,land_lvl1,land_lvl2,land_lvl3,land_lvl4,land_lvl5,land_lvl6,land_lvl7,land_lvl8,land_lvl9,land_lvl10,land_lvl11,land_species_morn0,land_species_morn1,land_species_morn2,land_species_morn3,land_species_morn4,land_species_morn5,land_species_morn6,land_species_morn7,land_species_morn8,land_species_morn9,land_species_morn10,land_species_morn11,land_species_day0,land_species_day1,land_species_day2,land_species_day3,land_species_day4,land_species_day5,land_species_day6,land_species_day7,land_species_day8,land_species_day9,land_species_day10,land_species_day11,land_species_nite0,land_species_nite1,land_species_nite2,land_species_nite3,land_species_nite4,land_species_nite5,land_species_nite6,land_species_nite7,land_species_nite8,land_species_nite9,land_species_nite10,land_species_nite11,hoenn1,hoenn2,sinnoh1,sinnoh2,lvl_min_surf0,lvl_max_surf0,species_surf0,lvl_min_surf1,lvl_max_surf1,species_surf1,lvl_min_surf2,lvl_max_surf2,species_surf2,lvl_min_surf3,lvl_max_surf3,species_surf3,lvl_min_surf4,lvl_max_surf4,species_surf4,lvl_min_smash0,lvl_max_smash0,species_smash0,lvl_min_smash1,lvl_max_smash1,species_smash1,lvl_min_oldrod0,lvl_max_oldrod0,species_oldrod0,lvl_min_oldrod1,lvl_max_oldrod1,species_oldrod1,lvl_min_oldrod2,lvl_max_oldrod2,species_oldrod2,lvl_min_oldrod3,lvl_max_oldrod3,species_oldrod3,lvl_min_oldrod4,lvl_max_oldrod4,species_oldrod4,lvl_min_goodrod0,lvl_max_goodrod0,species_goodrod0,lvl_min_goodrod1,lvl_max_goodrod1,species_goodrod1,lvl_min_goodrod2,lvl_max_goodrod2,species_goodrod2,lvl_min_goodrod3,lvl_max_goodrod3,species_goodrod3,lvl_min_goodrod4,lvl_max_goodrod4,species_goodrod4,lvl_min_superrod0,lvl_max_superrod0,species_superrod0,lvl_min_superrod1,lvl_max_superrod1,species_superrod1,lvl_min_superrod2,lvl_max_superrod2,species_superrod2,lvl_min_superrod3,lvl_max_superrod3,species_superrod3,lvl_min_superrod4,lvl_max_superrod4,species_superrod4,swarm_species0,swarm_species1,swarm_species2,swarm_species3
T20,0,15,0,25,50,75,0,0,0,0,0,0,0,0,0,0,0,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,15,25,SPECIES_TENTACOOL,10,20,SPECIES_TENTACOOL,15,25,SPECIES_TENTACRUEL,15,25,SPECIES_TENTACRUEL,15,25,SPECIES_TENTACRUEL,0,0,SPECIES_NONE,0,0,SPECIES_NONE,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_TENTACOOL,10,10,SPECIES_TENTACOOL,20,20,SPECIES_MAGIKARP,20,20,SPECIES_TENTACOOL,20,20,SPECIES_CHINCHOU,20,20,SPECIES_SHELLDER,20,20,SPECIES_CHINCHOU,40,40,SPECIES_CHINCHOU,40,40,SPECIES_SHELLDER,40,40,SPECIES_TENTACRUEL,40,40,SPECIES_LANTURN,40,40,SPECIES_TENTACRUEL,SPECIES_NONE,SPECIES_TENTACOOL,SPECIES_SHELLDER,SPECIES_MAGIKARP
R29,25,0,0,0,0,0,2,3,2,3,3,3,2,4,2,4,2,4,SPECIES_PIDGEY,SPECIES_SENTRET,SPECIES_PIDGEY,SPECIES_SENTRET,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_SENTRET,SPECIES_RATTATA,SPECIES_SENTRET,SPECIES_PIDGEY,SPECIES_SENTRET,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_SENTRET,SPECIES_PIDGEY,SPECIES_SENTRET,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_SENTRET,SPECIES_SENTRET,SPECIES_RATTATA,SPECIES_PIDGEY,SPECIES_RATTATA,SPECIES_PIDGEY,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_HOOTHOOT,SPECIES_RATTATA,SPECIES_HOOTHOOT,SPECIES_PLUSLE,SPECIES_MINUN,SPECIES_SHINX,SPECIES_SHINX,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,SPECIES_PIDGEY,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE
T21,0,15,0,25,50,75,0,0,0,0,0,0,0,0,0,0,0,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,15,25,SPECIES_TENTACOOL,10,20,SPECIES_TENTACOOL,15,25,SPECIES_TENTACRUEL,15,25,SPECIES_TENTACRUEL,15,25,SPECIES_TENTACRUEL,0,0,SPECIES_NONE,0,0,SPECIES_NONE,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_KRABBY,10,10,SPECIES_KRABBY,20,20,SPECIES_MAGIKARP,20,20,SPECIES_KRABBY,20,20,SPECIES_KRABBY,20,20,SPECIES_CORSOLA,20,20,SPECIES_KRABBY,40,40,SPECIES_KRABBY,40,40,SPECIES_CORSOLA,40,40,SPECIES_KRABBY,40,40,SPECIES_KINGLER,40,40,SPECIES_KRABBY,SPECIES_NONE,SPECIES_TENTACOOL,SPECIES_STARYU,SPECIES_MAGIKARP
R30,25,15,0,25,50,75,3,3,3,3,4,4,4,4,4,4,4,4,SPECIES_LEDYBA,SPECIES_WEEDLE,SPECIES_LEDYBA,SPECIES_WEEDLE,SPECIES_WEEDLE,SPECIES_WEEDLE,SPECIES_KAKUNA,SPECIES_KAKUNA,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_WEEDLE,SPECIES_PIDGEY,SPECIES_WEEDLE,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_KAKUNA,SPECIES_KAKUNA,SPECIES_WEEDLE,SPECIES_KAKUNA,SPECIES_WEEDLE,SPECIES_KAKUNA,SPECIES_HOOTHOOT,SPECIES_RATTATA,SPECIES_HOOTHOOT,SPECIES_RATTATA,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_WHISMUR,SPECIES_LINOONE,SPECIES_BUIZEL,SPECIES_BIDOOF,15,25,SPECIES_POLIWAG,10,20,SPECIES_POLIWAG,15,25,SPECIES_POLIWHIRL,15,25,SPECIES_POLIWHIRL,32,32,SPECIES_POLIWHIRL,0,0,SPECIES_NONE,0,0,SPECIES_NONE,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_POLIWAG,10,10,SPECIES_POLIWAG,20,20,SPECIES_MAGIKARP,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,40,40,SPECIES_POLIWAG,40,40,SPECIES_POLIWAG,40,40,SPECIES_MAGIKARP,40,40,SPECIES_POLIWAG,40,40,SPECIES_MAGIKARP,SPECIES_LEDYBA,SPECIES_POLIWAG,SPECIES_POLIWAG,SPECIES_MAGIKARP
R31,25,15,0,25,50,75,4,4,4,4,3,3,5,5,5,5,5,5,SPECIES_LEDYBA,SPECIES_WEEDLE,SPECIES_LEDYBA,SPECIES_WEEDLE,SPECIES_BELLSPROUT,SPECIES_BELLSPROUT,SPECIES_KAKUNA,SPECIES_KAKUNA,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_PIDGEY,SPECIES_WEEDLE,SPECIES_PIDGEY,SPECIES_WEEDLE,SPECIES_BELLSPROUT,SPECIES_BELLSPROUT,SPECIES_KAKUNA,SPECIES_KAKUNA,SPECIES_WEEDLE,SPECIES_KAKUNA,SPECIES_WEEDLE,SPECIES_KAKUNA,SPECIES_HOOTHOOT,SPECIES_RATTATA,SPECIES_HOOTHOOT,SPECIES_RATTATA,SPECIES_BELLSPROUT,SPECIES_BELLSPROUT,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_HOOTHOOT,SPECIES_WHISMUR,SPECIES_LINOONE,SPECIES_BUIZEL,SPECIES_BIDOOF,15,25,SPECIES_POLIWAG,10,20,SPECIES_POLIWAG,15,25,SPECIES_POLIWHIRL,15,25,SPECIES_POLIWHIRL,32,32,SPECIES_POLIWHIRL,0,0,SPECIES_NONE,0,0,SPECIES_NONE,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_POLIWAG,10,10,SPECIES_POLIWAG,20,20,SPECIES_MAGIKARP,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,40,40,SPECIES_POLIWAG,40,40,SPECIES_POLIWAG,40,40,SPECIES_MAGIKARP,40,40,SPECIES_POLIWAG,40,40,SPECIES_MAGIKARP,SPECIES_LEDYBA,SPECIES_POLIWAG,SPECIES_POLIWAG,SPECIES_MAGIKARP
T22,0,15,0,25,50,75,0,0,0,0,0,0,0,0,0,0,0,0,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE,15,25,SPECIES_POLIWAG,10,20,SPECIES_POLIWAG,15,25,SPECIES_POLIWHIRL,15,25,SPECIES_POLIWHIRL,15,25,SPECIES_POLIWHIRL,0,0,SPECIES_NONE,0,0,SPECIES_NONE,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_POLIWAG,10,10,SPECIES_POLIWAG,20,20,SPECIES_MAGIKARP,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,40,40,SPECIES_POLIWAG,40,40,SPECIES_POLIWAG,40,40,SPECIES_MAGIKARP,40,40,SPECIES_POLIWAG,40,40,SPECIES_MAGIKARP,SPECIES_NONE,SPECIES_POLIWAG,SPECIES_POLIWAG,SPECIES_WHISCASH
D15R0102,5,0,0,0,0,0,3,4,3,4,5,5,3,3,6,5,6,5,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_GASTLY,SPECIES_RATTATA,SPECIES_GASTLY,SPECIES_RATTATA,SPECIES_ZIGZAGOON,SPECIES_SPINDA,SPECIES_CHATOT,SPECIES_MEDITITE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,SPECIES_RATTATA,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE
D15R0103,5,0,0,0,0,0,3,4,3,4,5,5,3,3,6,5,6,5,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_GASTLY,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_GASTLY,SPECIES_RATTATA,SPECIES_GASTLY,SPECIES_RATTATA,SPECIES_ZIGZAGOON,SPECIES_SPINDA,SPECIES_CHATOT,SPECIES_MEDITITE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,0,0,SPECIES_NONE,SPECIES_RATTATA,SPECIES_NONE,SPECIES_NONE,SPECIES_NONE
R32,25,15,0,25,50,75,6,4,6,4,6,6,6,6,6,4,6,4,SPECIES_BELLSPROUT,SPECIES_EKANS,SPECIES_BELLSPROUT,SPECIES_EKANS,SPECIES_MAREEP,SPECIES_MAREEP,SPECIES_HOPPIP,SPECIES_HOPPIP,SPECIES_RATTATA,SPECIES_ZUBAT,SPECIES_RATTATA,SPECIES_ZUBAT,SPECIES_BELLSPROUT,SPECIES_EKANS,SPECIES_BELLSPROUT,SPECIES_EKANS,SPECIES_MAREEP,SPECIES_MAREEP,SPECIES_HOPPIP,SPECIES_HOPPIP,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_RATTATA,SPECIES_WOOPER,SPECIES_EKANS,SPECIES_WOOPER,SPECIES_EKANS,SPECIES_BELLSPROUT,SPECIES_BELLSPROUT,SPECIES_MAREEP,SPECIES_MAREEP,SPECIES_WOOPER,SPECIES_ZUBAT,SPECIES_WOOPER,SPECIES_ZUBAT,SPECIES_WHISMUR,SPECIES_LINOONE,SPECIES_BUIZEL,SPECIES_BIDOOF,10,20,SPECIES_TENTACOOL,15,25,SPECIES_QUAGSIRE,15,25,SPECIES_TENTACRUEL,15,25,SPECIES_TENTACRUEL,36,36,SPECIES_TENTACRUEL,0,0,SPECIES_NONE,0,0,SPECIES_NONE,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_TENTACOOL,10,10,SPECIES_TENTACOOL,20,20,SPECIES_MAGIKARP,20,20,SPECIES_TENTACOOL,20,20,SPECIES_TENTACOOL,20,20,SPECIES_TENTACOOL,20,20,SPECIES_QWILFISH,40,40,SPECIES_TENTACOOL,40,40,SPECIES_TENTACOOL,40,40,SPECIES_MAGIKARP,40,40,SPECIES_QWILFISH,40,40,SPECIES_MAGIKARP,SPECIES_BELLSPROUT,SPECIES_TENTACOOL,SPECIES_TENTACOOL,SPECIES_QWILFISH
D24R0101,10,10,20,25,50,75,20,22,20,22,18,18,24,24,20,22,20,22,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_NATU,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_SMEARGLE,SPECIES_WHISMUR,SPECIES_LINOONE,SPECIES_BUIZEL,SPECIES_BIDOOF,10,20,SPECIES_WOOPER,15,25,SPECIES_QUAGSIRE,10,20,SPECIES_QUAGSIRE,10,20,SPECIES_QUAGSIRE,10,20,SPECIES_QUAGSIRE,8,14,SPECIES_GEODUDE,3,6,SPECIES_GEODUDE,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_MAGIKARP,10,10,SPECIES_POLIWAG,10,10,SPECIES_POLIWAG,20,20,SPECIES_MAGIKARP,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,20,20,SPECIES_POLIWAG,40,40,SPECIES_POLIWAG,40,40,SPECIES_POLIWAG,40,40,SPECIES_MAGIKARP,40,40,SPECIES_POLIWAG,40,40,SPECIES_MAGIKARP,SPECIES_NATU,SPECIES_WOOPER,SPECIES_POLIWAG,SPECIES_MAGIKARP
